MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59157,Brighton,Leicester,1,2,36.6,63.4,2.0,4.0,7.0,8.0,549.0,829.0,340.0,616.0,30.0,23.0,5.0,16.0,6.0,6.0,4.0,1.0,0.0,1.0,14.0,8.0,0.0,0.0
59164,West Brom,Newcastle,0,0,52.8,47.2,3.0,5.0,13.0,9.0,619.0,561.0,396.0,365.0,11.0,17.0,21.0,30.0,9.0,7.0,1.0,1.0,0.0,0.0,11.0,10.0,0.0,0.0
59160,Liverpool,Fulham,0,1,63.1,36.9,3.0,3.0,16.0,10.0,893.0,629.0,708.0,414.0,13.0,15.0,13.0,42.0,9.0,4.0,3.0,1.0,2.0,3.0,10.0,8.0,0.0,0.0
59158,Burnley,Arsenal,1,1,41.1,58.9,5.0,3.0,9.0,15.0,589.0,770.0,419.0,595.0,15.0,12.0,16.0,17.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,12.0,1.0,0.0
59218,Fulham,Spurs,0,1,59.6,40.4,3.0,2.0,11.0,9.0,754.0,562.0,544.0,378.0,11.0,21.0,5.0,31.0,4.0,1.0,4.0,2.0,2.0,1.0,13.0,9.0,0.0,0.0
59184,West Brom,Everton,0,1,48.1,51.9,3.0,3.0,11.0,11.0,670.0,704.0,450.0,500.0,9.0,20.0,22.0,31.0,3.0,3.0,3.0,2.0,3.0,1.0,9.0,7.0,0.0,0.0
59180,Liverpool,Chelsea,0,1,54.2,45.8,1.0,5.0,7.0,11.0,853.0,738.0,656.0,549.0,14.0,19.0,14.0,30.0,5.0,2.0,1.0,4.0,0.0,0.0,9.0,8.0,0.0,0.0
59177,Burnley,Leicester,1,1,38.9,61.1,7.0,4.0,12.0,16.0,522.0,746.0,351.0,571.0,8.0,9.0,13.0,31.0,5.0,8.0,3.0,2.0,0.0,2.0,6.0,12.0,0.0,0.0
59178,Crystal Palace,Man Utd,0,0,37.0,63.0,2.0,1.0,8.0,11.0,544.0,781.0,353.0,600.0,19.0,6.0,25.0,11.0,4.0,6.0,1.0,2.0,1.0,0.0,4.0,13.0,0.0,0.0
59182,Sheffield Utd,Aston Villa,1,0,28.2,71.8,2.0,4.0,9.0,16.0,443.0,838.0,263.0,641.0,13.0,9.0,47.0,9.0,2.0,7.0,1.0,1.0,1.0,0.0,13.0,6.0,1.0,0.0
59181,Man City,Wolves,4,1,72.1,27.9,10.0,1.0,22.0,6.0,954.0,485.0,798.0,309.0,14.0,17.0,2.0,26.0,10.0,2.0,3.0,1.0,0.0,1.0,9.0,5.0,0.0,0.0
59148,Everton,Southampton,1,0,46.6,53.4,1.0,1.0,7.0,9.0,617.0,676.0,410.0,462.0,20.0,26.0,23.0,13.0,4.0,10.0,4.0,0.0,0.0,2.0,13.0,9.0,0.0,0.0
59146,Chelsea,Man Utd,0,0,57.4,42.6,6.0,4.0,18.0,11.0,819.0,636.0,608.0,445.0,24.0,14.0,20.0,17.0,3.0,4.0,1.0,3.0,1.0,2.0,11.0,12.0,0.0,0.0
59153,Sheffield Utd,Liverpool,0,2,39.3,60.7,2.0,8.0,8.0,16.0,579.0,802.0,406.0,638.0,11.0,12.0,17.0,15.0,4.0,3.0,3.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0
59155,West Brom,Brighton,1,0,29.9,70.1,2.0,6.0,6.0,15.0,424.0,738.0,230.0,553.0,13.0,21.0,16.0,19.0,7.0,4.0,1.0,0.0,0.0,1.0,11.0,13.0,0.0,0.0
59149,Leeds,Aston Villa,0,1,69.2,30.8,3.0,4.0,13.0,9.0,701.0,431.0,517.0,227.0,18.0,16.0,6.0,21.0,7.0,5.0,0.0,0.0,3.0,2.0,14.0,14.0,0.0,0.0
59152,Newcastle,Wolves,1,1,47.6,52.4,7.0,4.0,19.0,14.0,579.0,600.0,388.0,423.0,18.0,14.0,15.0,13.0,3.0,5.0,2.0,0.0,2.0,0.0,11.0,13.0,0.0,0.0
59147,Crystal Palace,Fulham,0,0,40.4,59.6,0.0,4.0,3.0,16.0,568.0,737.0,364.0,540.0,20.0,18.0,14.0,16.0,1.0,3.0,1.0,0.0,1.0,1.0,10.0,14.0,0.0,0.0
59150,Leicester,Arsenal,1,3,44.2,55.8,3.0,4.0,8.0,12.0,563.0,690.0,408.0,507.0,21.0,9.0,15.0,10.0,2.0,7.0,0.0,1.0,2.0,1.0,15.0,3.0,0.0,0.0
59154,Spurs,Burnley,4,0,58.3,41.7,7.0,3.0,16.0,10.0,815.0,593.0,633.0,439.0,12.0,11.0,26.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0
59151,Man City,West Ham,2,1,63.2,36.8,3.0,3.0,10.0,9.0,834.0,532.0,675.0,394.0,11.0,13.0,10.0,18.0,4.0,2.0,2.0,1.0,1.0,1.0,8.0,11.0,0.0,0.0
59069,Leeds,Southampton,3,0,46.7,53.3,7.0,5.0,11.0,13.0,520.0,582.0,319.0,365.0,25.0,18.0,20.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,11.0,13.0,0.0,0.0
59138,Brighton,Crystal Palace,1,2,74.5,25.5,5.0,2.0,25.0,3.0,912.0,433.0,715.0,250.0,11.0,22.0,4.0,32.0,13.0,0.0,3.0,1.0,2.0,0.0,11.0,6.0,0.0,0.0
59136,Arsenal,Man City,0,1,45.0,55.0,1.0,3.0,7.0,15.0,608.0,738.0,479.0,599.0,8.0,5.0,12.0,17.0,1.0,3.0,1.0,3.0,2.0,2.0,11.0,9.0,0.0,0.0
59142,Man Utd,Newcastle,3,1,71.6,28.4,7.0,6.0,15.0,10.0,861.0,434.0,692.0,270.0,11.0,16.0,12.0,15.0,6.0,4.0,2.0,1.0,1.0,2.0,9.0,11.0,0.0,0.0
59139,Burnley,West Brom,0,0,62.1,37.9,1.0,3.0,6.0,10.0,615.0,436.0,433.0,267.0,17.0,16.0,16.0,24.0,5.0,5.0,4.0,3.0,3.0,0.0,16.0,10.0,0.0,1.0
59141,Liverpool,Everton,0,2,71.4,28.6,6.0,6.0,15.0,9.0,898.0,452.0,693.0,279.0,16.0,21.0,10.0,32.0,7.0,2.0,2.0,2.0,2.0,1.0,10.0,10.0,0.0,0.0
59140,Fulham,Sheffield Utd,1,0,65.1,34.9,7.0,2.0,15.0,4.0,800.0,495.0,597.0,321.0,6.0,20.0,19.0,23.0,6.0,4.0,1.0,3.0,1.0,2.0,11.0,14.0,0.0,0.0
59144,West Ham,Spurs,2,1,30.8,69.2,4.0,4.0,4.0,20.0,447.0,764.0,253.0,569.0,23.0,16.0,27.0,15.0,5.0,7.0,1.0,0.0,4.0,3.0,14.0,7.0,0.0,0.0
59137,Aston Villa,Leicester,1,2,49.9,50.1,2.0,7.0,11.0,16.0,634.0,627.0,430.0,450.0,17.0,16.0,9.0,23.0,7.0,8.0,4.0,1.0,2.0,1.0,11.0,12.0,0.0,0.0
59145,Wolves,Leeds,1,0,41.0,59.0,5.0,7.0,15.0,18.0,500.0,629.0,308.0,440.0,17.0,18.0,12.0,14.0,7.0,9.0,1.0,1.0,1.0,0.0,13.0,8.0,0.0,0.0
59143,Southampton,Chelsea,1,1,29.1,70.9,1.0,3.0,4.0,9.0,486.0,915.0,295.0,727.0,17.0,22.0,18.0,6.0,3.0,6.0,0.0,4.0,1.0,1.0,10.0,10.0,0.0,0.0
