matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
14289,Darren Randolph,Aaron Cresswell,José Fonte,Winston Reid,Cheikhou Kouyaté,Sofiane Feghouli,Robert Snodgrass,Pedro Obiang,Mark Noble,Manuel Lanzini,Michail Antonio,Ben Foster,Allan-Roméo Nyom,Chris Brunt,Gareth McAuley,Craig Dawson,James Morrison,Jake Livermore,Matt Phillips,Nacer Chadli,Darren Fletcher,Salomón Rondón
14283,Simon Mignolet,Nathaniel Clyne,James Milner,Lucas Leiva,Joël Matip,Georginio Wijnaldum,Jordan Henderson,Adam Lallana,Philippe Coutinho,Roberto Firmino,Sadio Mané,Hugo Lloris,Kyle Walker,Toby Alderweireld,Eric Dier,Ben Davies,Son Heung-Min,Victor Wanyama,Mousa Dembélé,Dele Alli,Christian Eriksen,Harry Kane
14282,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robert Brady,Ashley Westwood,Joey Barton,George Boyd,Andre Gray,Ashley Barnes,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa
14280,Petr Cech,Héctor Bellerín,Kieran Gibbs,Laurent Koscielny,Shkodran Mustafi,Mesut Özil,Theo Walcott,Alex Oxlade-Chamberlain,Alex Iwobi,Francis Coquelin,Alexis Sánchez,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Omar Elabdellaoui,Alfred N'Diaye,Sam Clucas,Tom Huddlestone,Lazar Markovic,Oumar Niasse,David Marshall
14274,Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Danny Drinkwater,Ahmed Musa,Shinji Okazaki,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,David de Gea,Eric Bailly,Chris Smalling,Marcos Rojo,Antonio Valencia,Paul Pogba,Juan Mata,Ander Herrera,Henrikh Mkhitaryan,Zlatan Ibrahimovic,Marcus Rashford
14271,Wayne Hennessey,James Tomkins,Scott Dann,Damien Delaney,Joel Ward,Patrick van Aanholt,Yohan Cabaye,Jason David Ian Puncheon,Wilfried Zaha,James McArthur,Christian Benteke,Vito Mannone,Jason Denayer,John O'Shea,Lamine Koné,Billy Jones,Sebastian Larsson,Jack Rodwell,Didier Ndong,Jermain Defoe,Adnan Januzaj,Mika
14272,Joel Robles,Leighton Baines,Ashley Williams,Séamus Coleman,Ramiro Mori,James McCarthy,Gareth Barry,Morgan Schneiderlin,Ross Barkley,Romelu Lukaku,Ademola Lookman,Artur Boruc,Simon Francis,Steve Cook,Tyrone Mings,Dan Gosling,Andrew Surman,Marc Pugh,Harry Arter,Ryan Fraser,Joshua King,Jack Wilshere
14273,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Omar Elabdellaoui,Evandro,Alfred N'Diaye,Sam Clucas,Tom Huddlestone,Abel Hernández,David Marshall,Simon Mignolet,Nathaniel Clyne,James Milner,Lucas Leiva,Joël Matip,Jordan Henderson,Adam Lallana,Emre Can,Philippe Coutinho,Roberto Firmino,Sadio Mané
14276,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,James Ward-Prowse,Steven Davis,Jay Rodríguez,Sofiane Boufal,Manolo Gabbiadini,Darren Randolph,Aaron Cresswell,José Fonte,Winston Reid,Cheikhou Kouyaté,Sofiane Feghouli,Robert Snodgrass,Pedro Obiang,Mark Noble,Michail Antonio,Andy Carroll
14278,Heurelho Gomes,Younes Kaboul,Sebastian Prödl,Craig Cathcart,José Holebas,Tom Cleverley,Valon Behrami,Etienne Capoue,Troy Deeney,Mauro Zárate,M'Baye Niang,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Jeff Hendrick,Joey Barton,George Boyd,Scott Arfield,Andre Gray,Ashley Barnes
14279,Ben Foster,Allan-Roméo Nyom,Chris Brunt,Gareth McAuley,Craig Dawson,James Morrison,Jake Livermore,Matt Phillips,Nacer Chadli,Darren Fletcher,Salomón Rondón,Lee Grant,Phil Bardsley,Erik Pieters,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Ibrahim Afellay,Charlie Adam,Peter Crouch
14277,Hugo Lloris,Kyle Walker,Toby Alderweireld,Eric Dier,Ben Davies,Son Heung-Min,Victor Wanyama,Mousa Dembélé,Dele Alli,Christian Eriksen,Harry Kane,Víctor Valdés,Bernardo Espinosa,Fábio,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Álvaro Negredo,Stewart Downing,Adama Traoré
14275,Willy Caballero,John Stones,Aleksandar Kolarov,Gaël Clichy,Fernandinho,Kevin De Bruyne,David Silva,Yaya Touré,Raheem Sterling,Gabriel Jesus,Leroy Sané,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Fernando Llorente,Wayne Routledge,Gylfi Sigurdsson
14270,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa,Petr Cech,Héctor Bellerín,Laurent Koscielny,Nacho Monreal,Shkodran Mustafi,Mesut Özil,Theo Walcott,Alex Oxlade-Chamberlain,Alex Iwobi,Francis Coquelin,Alexis Sánchez
14267,Darren Randolph,Aaron Cresswell,Winston Reid,Sam Byram,Sofiane Feghouli,Michail Antonio,Pedro Obiang,Mark Noble,Manuel Lanzini,Andy Carroll,Adrián,Willy Caballero,Bacary Sagna,John Stones,Aleksandar Kolarov,Nicolás Otamendi,Raheem Sterling,Kevin De Bruyne,Leroy Sané,David Silva,Yaya Touré,Gabriel Jesus
14263,David de Gea,Phil Jones,Marcos Rojo,Daley Blind,Antonio Valencia,Paul Pogba,Michael Carrick,Ander Herrera,Zlatan Ibrahimovic,Marcus Rashford,Henrikh Mkhitaryan,Eldin Jakupovic,Andrew Robertson,Harry Maguire,David Meyler,Michael Dawson,Evandro,Sam Clucas,Tom Huddlestone,Josh Tymon,Lazar Markovic,Oumar Niasse
14269,Lee Grant,Phil Bardsley,Erik Pieters,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Ibrahim Afellay,Charlie Adam,Peter Crouch,Joel Robles,Ashley Williams,Ramiro Mori,Mason Holgate,Leighton Baines,Ross Barkley,Morgan Schneiderlin,Séamus Coleman,Tom Davies,Romelu Lukaku,Kevin Mirallas
14260,Petr Cech,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Shkodran Mustafi,Alexis Sánchez,Aaron Ramsey,Mesut Özil,Alex Iwobi,Francis Coquelin,Olivier Giroud,Heurelho Gomes,Miguel Britos,Younes Kaboul,Sebastian Prödl,Craig Cathcart,Daryl Janmaat,Tom Cleverley,Valon Behrami,M'Baye Niang,Etienne Capoue,Troy Deeney
14261,Artur Boruc,Simon Francis,Steve Cook,Brad Smith,Adam Smith,Andrew Surman,Junior Stanislas,Ryan Fraser,Joshua King,Jack Wilshere,Benik Afobe,Wayne Hennessey,James Tomkins,Scott Dann,Damien Delaney,Joel Ward,Patrick van Aanholt,Yohan Cabaye,Jason David Ian Puncheon,Wilfried Zaha,James McArthur,Christian Benteke
14262,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Jeff Hendrick,Steven Defour,Joey Barton,George Boyd,Andre Gray,Ashley Barnes,Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Demarai Gray,Jamie Vardy
14264,Víctor Valdés,Fábio,Bernardo Espinosa,Ben Gibson,Antonio Barragán,Adam Clayton,Marten de Roon,Adam Forshaw,Cristhian Stuani,Álvaro Negredo,Adama Traoré,Ben Foster,Allan-Roméo Nyom,Chris Brunt,Gareth McAuley,Craig Dawson,Claudio Yacob,James Morrison,Matt Phillips,Nacer Chadli,Darren Fletcher,Salomón Rondón
14265,Vito Mannone,Jason Denayer,John O'Shea,Lamine Koné,Billy Jones,Sebastian Larsson,Jack Rodwell,Didier Ndong,Javier Manquillo,Fabio Borini,Jermain Defoe,Michel Vorm,Kyle Walker,Danny Rose,Toby Alderweireld,Eric Dier,Son Heung-Min,Victor Wanyama,Mousa Dembélé,Dele Alli,Christian Eriksen,Harry Kane
14266,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Fernando Llorente,Wayne Routledge,Gylfi Sigurdsson,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Jordy Clasie,Oriol Romeu,Steven Davis,Shane Long,Nathan Redmond,Dusan Tadic
14268,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joël Matip,Georginio Wijnaldum,Jordan Henderson,Emre Can,Philippe Coutinho,Roberto Firmino,Adam Lallana,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Willian,Eden Hazard,Diego Costa
14252,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa,Eldin Jakupovic,Harry Maguire,Curtis Davies,Michael Dawson,Andrew Robertson,Ryan Mason,Omar Elabdellaoui,Tom Huddlestone,Evandro,Abel Hernández,Sam Clucas
14251,Artur Boruc,Steve Cook,Charlie Daniels,Adam Smith,Tyrone Mings,Andrew Surman,Junior Stanislas,Ryan Fraser,Joshua King,Jack Wilshere,Callum Wilson,Heurelho Gomes,Miguel Britos,Younes Kaboul,Sebastian Prödl,Abdoulaye Doucouré,José Holebas,Christian Kabasele,Etienne Capoue,Tom Cleverley,Troy Deeney,Stefano Okaka
14253,Wayne Hennessey,James Tomkins,Scott Dann,Damien Delaney,Joel Ward,Yohan Cabaye,Jeffrey Schlupp,Jason David Ian Puncheon,Loïc Rémy,James McArthur,Christian Benteke,Joel Robles,Ashley Williams,Ramiro Mori,Mason Holgate,Leighton Baines,Ross Barkley,Gareth Barry,Séamus Coleman,Tom Davies,Romelu Lukaku,Kevin Mirallas
14256,Víctor Valdés,Bernardo Espinosa,George Friend,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Cristhian Stuani,Álvaro Negredo,Adama Traoré,Darren Randolph,Aaron Cresswell,Winston Reid,Angelo Ogbonna,Sam Byram,Sofiane Feghouli,Pedro Obiang,Mark Noble,Manuel Lanzini,Andy Carroll,Michail Antonio
14258,Lee Grant,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Charlie Adam,Xherdan Shaqiri,Peter Crouch,David de Gea,Phil Jones,Chris Smalling,Daley Blind,Antonio Valencia,Paul Pogba,Ander Herrera,Marouane Fellaini,Juan Mata,Zlatan Ibrahimovic,Henrikh Mkhitaryan
14259,Ben Foster,Allan-Roméo Nyom,Chris Brunt,Gareth McAuley,Craig Dawson,Claudio Yacob,James Morrison,Nacer Chadli,Matt Phillips,Darren Fletcher,Salomón Rondón,Vito Mannone,Jason Denayer,Papy Djilobodji,John O'Shea,Billy Jones,Patrick van Aanholt,Sebastian Larsson,Jack Rodwell,Jermain Defoe,George Honeyman,Adnan Januzaj
