MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59130,49.7,50.3,2,3,7,12,700,722,534,545,17,10,14,24,5,4,3,2,1,1,7,16,,
59129,53.3,46.7,3,4,13,16,636,577,427,390,16,17,12,22,7,4,3,1,,,15,14,,
59132,60.4,39.6,6,3,15,7,876,623,698,456,21,23,7,14,4,2,1,0,1,3,12,13,,
59127,58.2,41.8,9,1,26,4,681,555,509,372,11,10,12,24,9,2,0,3,2,3,16,12,,
59133,51.1,48.9,3,4,7,10,660,630,476,448,23,9,15,13,4,6,6,1,2,2,10,9,,
59134,26.9,73.1,3,7,7,10,432,873,253,707,14,10,29,9,4,5,2,3,5,0,13,10,,
59131,38,62,6,4,11,15,585,796,357,561,23,23,38,4,2,12,2,1,1,2,7,6,,
59119,68.2,31.8,7,3,17,8,883,501,714,332,22,11,11,18,5,3,1,1,0,2,7,8,,
59120,55.9,44.1,3,5,8,8,823,703,649,519,18,20,9,24,6,1,1,2,2,1,13,8,,
59123,31.1,68.9,3,3,8,9,519,938,338,756,18,17,15,19,1,8,2,2,1,0,8,8,,
59124,65.6,34.4,6,1,13,4,763,492,589,303,17,24,8,30,8,0,1,4,1,2,16,12,,
59125,43.9,56.1,1,3,13,13,635,761,429,567,19,19,14,22,8,2,0,1,1,3,11,15,,
59117,54.5,45.5,7,2,20,10,625,537,444,379,8,7,12,20,8,7,3,0,2,0,8,10,,
59122,26.2,73.8,4,5,6,14,411,788,221,610,16,17,35,9,0,7,3,5,2,1,11,14,1,0
59118,60.6,39.4,2,1,20,8,722,524,550,354,13,9,11,24,7,3,1,4,1,3,11,10,0,1
59121,62,38,5,3,14,6,820,573,653,397,14,16,9,21,5,1,0,4,2,1,14,10,,
59116,33.6,66.4,8,3,12,14,508,793,316,597,18,12,27,9,3,7,1,0,3,2,12,12,,
59115,42,58,2,2,7,16,620,804,457,630,13,10,19,13,2,7,0,3,2,3,20,14,,
59107,25.7,74.3,0,6,2,13,395,943,271,804,17,8,17,13,1,3,3,2,2,1,8,5,,
59108,57.5,42.5,1,5,8,9,802,651,598,447,22,18,16,23,5,2,1,3,3,1,17,10,,
59109,63.2,36.8,7,6,16,10,767,543,561,331,16,13,11,33,7,1,0,1,2,3,12,12,,
59106,56.5,43.5,2,10,9,20,671,543,480,376,13,15,14,23,7,3,1,1,1,1,11,16,,
59113,63.4,36.6,1,4,11,13,886,590,697,404,12,13,15,29,5,3,0,3,1,0,12,6,,
59111,68.3,31.7,6,4,14,8,800,464,593,268,20,18,22,25,9,2,0,3,2,1,11,9,,
59112,54.6,45.4,7,3,11,9,745,639,576,488,10,13,17,25,9,6,1,3,3,2,11,8,0,2
59110,74.6,25.4,14,1,24,3,784,385,626,215,13,20,4,30,5,3,3,2,2,3,11,6,0,2
59114,61.3,38.7,5,3,21,6,794,570,610,397,12,14,8,21,9,1,1,2,1,3,14,11,,
59105,32.8,67.2,2,5,8,14,524,927,365,785,15,13,12,13,6,4,2,1,2,0,7,8,,
59097,43.2,56.8,5,4,16,8,619,746,407,556,19,13,15,22,9,2,1,1,2,1,11,11,,
59099,47.3,52.7,2,4,11,6,682,730,518,560,14,25,15,11,1,6,1,1,1,2,7,10,,
59102,75,25,5,1,10,4,942,416,805,273,12,15,6,22,10,0,0,1,0,3,7,10,,
59104,37.5,62.5,3,7,5,12,504,742,336,574,13,8,20,17,2,3,1,1,1,0,9,10,,
59096,43.3,56.7,3,3,17,14,606,748,436,566,13,10,21,13,4,7,0,2,1,3,9,16,,
59103,59.8,40.2,5,4,20,8,695,535,487,336,24,23,11,22,7,1,4,5,1,0,12,11,,
59098,71.1,28.9,8,0,19,1,890,445,723,287,13,15,17,21,4,2,2,2,0,1,7,9,,
59101,50.8,49.2,8,7,18,8,621,611,404,389,15,27,7,19,5,4,2,2,0,3,17,16,,
59100,60.9,39.1,3,3,11,13,679,499,488,301,17,14,26,27,7,12,4,0,3,4,13,6,,
59095,49.8,50.2,2,7,3,14,745,756,592,587,14,10,18,12,1,2,2,2,1,2,9,11,,
59087,38.2,61.8,5,10,10,18,461,662,290,475,22,6,20,16,2,4,3,2,1,0,16,7,,
59091,78.9,21.1,5,0,14,4,1047,403,898,242,15,5,8,30,12,1,2,0,1,1,14,7,,
59086,49.5,50.5,5,3,16,10,627,646,411,439,23,12,6,20,10,0,3,0,2,1,10,14,,
59088,35,65,2,6,8,19,502,769,298,573,14,19,23,20,5,11,2,1,1,1,12,10,,
59089,75.8,24.2,4,3,16,5,986,435,803,257,21,15,8,28,7,2,0,5,1,1,10,12,,
59092,54.2,45.8,3,7,6,17,723,641,536,460,17,18,9,16,3,4,0,2,,,9,8,,
59093,42.3,57.7,5,2,22,9,515,627,313,450,11,15,20,21,9,4,1,0,1,3,10,15,,
59094,58,42,5,5,13,9,685,536,493,353,17,15,17,15,4,5,2,2,1,2,11,6,,
59090,22.3,77.7,1,7,4,18,391,1045,247,888,13,8,24,15,3,8,0,1,2,0,8,8,,
58996,59.2,40.8,5,1,14,7,758,548,567,369,11,14,27,12,4,4,1,2,0,3,9,18,,
59074,71.8,28.2,6,4,27,6,857,452,686,274,6,10,6,52,12,0,1,6,2,1,11,8,,
58900,69.1,30.9,9,4,28,11,810,458,628,285,14,14,11,29,16,2,3,1,0,2,10,9,,
59068,38.4,61.6,5,5,12,15,601,841,400,636,12,18,29,15,2,8,1,2,3,1,6,10,,
59070,35.6,64.4,6,5,8,9,526,822,340,636,19,25,15,17,6,3,1,3,1,3,7,16,,
59072,59,41,6,2,14,6,728,536,541,375,5,19,18,23,3,1,2,0,0,1,10,10,,
59076,66.4,33.6,6,1,20,4,798,464,634,323,7,11,12,10,7,2,4,1,,,9,8,,
59081,65.7,34.3,3,4,17,8,865,549,667,344,16,20,11,33,7,3,1,8,2,1,15,6,,
59082,72.2,27.8,6,0,13,2,919,456,747,288,18,15,4,29,11,1,,,,,9,8,,
59079,66.6,33.4,2,2,7,7,795,480,601,305,13,10,13,23,5,2,3,0,1,1,8,9,,
59084,44.8,55.2,4,2,15,10,576,645,364,454,8,13,28,25,7,4,5,1,2,1,12,9,,
59078,30.2,69.8,3,6,10,21,557,967,328,757,20,17,33,12,1,12,1,3,2,3,11,10,1,0
59080,47.4,52.6,5,3,16,8,644,699,445,493,22,13,21,13,2,5,5,1,2,2,10,11,,
59083,42,58,5,5,15,14,616,776,413,580,19,17,21,17,5,7,4,1,4,0,13,4,,
